source,target,migration_1995_total,migration_1995_male,migration_1995_female,migration_2000_total,migration_2000_male,migration_2000_female,migration_2005_total,migration_2005_male,migration_2005_female,migration_2010_total,migration_2010_male,migration_2010_female,migration_2015_total,migration_2015_male,migration_2015_female
0,64,49,44,5,34,33,1,29,25,4,15,10,5,37,21,16
0,118,225,205,20,216,196,20,41,32,9,25,19,6,36,25,11
0,142,3,1,2,3,2,1,13,5,8,2,0,2,4,1,3
0,191,23,13,10,6,4,2,17,7,10,22,14,8,14,9,5
0,202,3763,1792,1971,4870,2356,2514,4482,2187,2295,3736,1781,1955,1313,627,686
0,124,4,2,2,8,3,5,200,112,88,234,134,100,20,17,3
0,161,328,157,171,428,204,224,187,88,99,233,101,132,19,10,9
0,203,9,5,4,11,5,6,10,4,6,9,5,4,0,0,0
0,97,2133,1100,1033,2134,1100,1034,752,395,357,753,395,358,301,158,143
0,99,1094533,602240,492293,67147,62788,4359,228013,72436,155577,201085,158963,42122,206413,115067,91346
0,155,2064101,1053017,1011084,797115,454393,342722,916210,489764,426446,815432,390539,424893,290222,208045,82177
0,194,15,13,2,16,9,7,32,11,21,66,35,31,1,1,0
0,13,31,17,14,3,1,2,11,9,2,18,10,8,9,6,3
0,15,21,13,8,22,11,11,134,89,45,221,147,74,43,26,17
0,55,1,1,0,1,1,0,2,0,2,4,2,2,0,0,0
0,100,135,46,89,77,46,31,109,74,35,19,11,8,49,25,24
0,103,112,40,72,46,17,29,180,70,110,148,57,91,77,30,47
0,107,1,1,0,3,2,1,4,2,2,70,51,19,76,56,20
0,111,266,127,139,151,142,9,97,45,52,427,268,159,926,476,450
0,165,33,31,2,29,16,13,232,166,66,736,625,111,215,193,22
0,180,4133,3047,1086,4680,3370,1310,41193,31666,9527,64134,48679,15455,83909,50810,33099
0,201,92,47,45,80,40,40,454,233,221,985,502,483,180,92,88
0,211,1981,1358,623,613,84,529,305,84,221,1697,889,808,2579,1345,1234
0,217,458,335,123,580,415,165,540,308,232,3670,2599,1071,712,474,238
0,18,76,46,30,76,47,29,11,7,4,11,7,4,12,7,5
0,31,15,8,7,16,8,8,37,37,0,32,29,3,36,24,12
0,56,26,20,6,26,20,6,118,65,53,99,56,43,107,78,29
0,95,129,102,27,129,102,27,125,80,45,125,81,44,551,433,118
0,162,32,28,4,27,24,3,9,7,2,4,3,1,6,5,1
0,170,4401,437,3964,4260,85,4175,3158,2961,197,3329,3103,226,96,67,29
0,187,28,23,5,45,36,9,13,11,2,14,12,2,27,23,4
0,216,84,48,36,52,23,29,209,161,48,102,78,24,7,7,0
0,59,1294,691,603,1293,691,602,3700,1986,1714,3699,1986,1713,1920,1274,646
0,68,0,0,0,0,0,0,0,0,0,13,10,3,1,1,0
0,73,140,68,72,140,69,71,1226,697,529,1225,696,529,2075,1001,1074
0,96,0,0,0,0,0,0,3,3,0,2,2,0,4,0,4
0,101,50,40,10,94,76,18,4,2,2,28,25,3,3,2,1
0,114,12,7,5,12,7,5,2,1,1,1,1,0,5,4,1
0,120,5,3,2,10,6,4,6,1,5,7,2,5,3,3,0
0,153,98,20,78,287,145,142,4433,2732,1701,3793,2334,1459,4374,2663,1711
0,199,629,340,289,290,149,141,4058,2109,1949,6075,3913,2162,14665,9118,5547
0,218,6084,3904,2180,6222,3988,2234,21718,12945,8773,24657,14897,9760,7499,4244,3255
0,83,149,114,35,141,109,32,3070,2462,608,3069,2461,608,187,163,24
0,104,35,24,11,35,23,12,3183,3000,183,3183,3001,182,13,6,7
0,188,1,1,0,2,2,0,4,4,0,5,5,0,20,20,0
0,193,13,9,4,418,300,118,236,170,66,220,188,32,19,4,15
0,12,609,438,171,609,438,171,702,428,274,702,429,273,1250,852,398
0,19,7,3,4,9,4,5,1167,719,448,844,548,296,8598,6914,1684
0,74,109,37,72,108,37,71,154,37,117,992,466,526,360,191,169
0,80,18258,8045,10213,18257,8044,10213,13262,7596,5666,13262,7596,5666,3320,1811,1509
0,145,4666,2602,2064,5152,2864,2288,12699,6903,5796,1491,1360,131,2699,1353,1346
0,200,487,347,140,497,355,142,560,324,236,626,252,374,687,539,148
0,50,14,6,8,8,4,4,1,0,1,2,0,2,0,0,0
0,148,5,3,2,15,8,7,17,8,9,3,2,1,4,3,1
0,8,2,1,1,2,1,1,5,0,5,6,1,5,0,0,0
0,24,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,28,18,10,29,19,10,12,8,4
0,42,8,6,2,7,6,1,3,2,1,3,2,1,6,5,1
0,46,3,2,1,3,1,2,5,3,2,12,8,4,8,5,3
0,63,3,2,1,2,1,1,4,3,1,11,7,4,17,11,6
0,37,8356,4018,4338,8682,4178,4504,8359,4466,3893,10204,5423,4781,4811,2417,2394
0,220,7638,4363,3275,9113,5236,3877,5291,3075,2216,5911,398,5513,6858,3415,3443
0,11,5164,3063,2101,4697,2812,1885,6060,3300,2760,12230,6270,5960,6602,5218,1384
0,147,333,179,154,225,65,160,1337,649,688,263,126,137,226,107,119
1,64,15,13,2,8,8,0,17,13,4,8,3,5,21,6,15
1,118,49,38,11,43,32,11,39,30,9,23,16,7,34,23,11
1,191,15,6,9,5,2,3,13,5,8,48,19,29,35,15,20
1,161,19,10,9,142,67,75,242,117,125,226,114,112,2,1,1
1,55,29,16,13,28,15,13,59,33,26,111,65,46,13,9,4
1,211,1138,567,571,1147,570,577,94,13,81,96,10,86,79,15,64
1,31,213,111,102,212,111,101,296,164,132,262,146,116,48,18,30
1,56,22,14,8,22,14,8,96,67,29,80,59,21,50,34,16
1,95,17,15,2,16,14,2,30,16,14,30,16,14,37,31,6
1,162,12,8,4,10,7,3,40,37,3,39,38,1,6,5,1
1,169,41,39,2,9,1,8,51,8,43,51,34,17,577,243,334
1,170,86,24,62,83,5,78,337,195,142,348,201,147,4,1,3
1,187,23,21,2,31,26,5,8,7,1,8,7,1,17,14,3
1,59,40,16,24,39,16,23,89,42,47,88,42,46,60,25,35
1,73,17,11,6,17,11,6,80,72,8,79,71,8,189,126,63
1,96,5,2,3,5,2,3,10,6,4,10,6,4,1,0,1
1,101,101,57,44,188,113,75,17,9,8,56,42,14,6,2,4
1,114,2,1,1,2,1,1,1,0,1,2,1,1,2,1,1
1,153,60,29,31,68,39,29,127,76,51,162,71,91,534,337,197
1,199,55,29,26,26,13,13,317,181,136,590,356,234,880,498,382
1,218,1025,657,368,1046,669,377,5124,3237,1887,5724,3642,2082,1613,951,662
1,52,83,41,42,74,37,37,10,1,9,9,1,8,1,0,1
1,83,166255,95772,70483,170035,96393,73642,23345,903,22442,23344,903,22441,17548,13567,3981
1,104,114737,57257,57480,114736,57257,57479,86551,43840,42711,86551,43840,42711,7642,3783,3859
1,127,3,1,2,29,12,17,28,9,19,10,3,7,18,10,8
1,137,0,0,0,0,0,0,0,0,0,2015,829,1186,739,314,425
1,163,13,8,5,16,10,6,5,1,4,3,2,1,5,1,4
1,178,3,1,2,3,0,3,5,2,3,2,1,1,7,4,3
1,182,307,64,243,131,19,112,6,5,1,11,3,8,11,3,8
1,188,36,24,12,38,24,14,43,39,4,58,32,26,48,33,15
1,193,197,107,90,353,193,160,382,233,149,713,428,285,131,6,125
1,204,13008,5423,7585,11358,4735,6623,415,160,255,2102,827,1275,2431,335,2096
1,12,222,126,96,222,127,95,257,103,154,256,103,153,457,234,223
1,19,9,6,3,48,23,25,772,406,366,1796,901,895,3643,1997,1646
1,74,110,33,77,110,34,76,2136,1091,1045,442,226,216,506,255,251
1,80,3092,919,2173,3091,918,2173,3024,1253,1771,3024,1254,1770,601,303,298
