Label,name,code,region,sub_region,lat,lng,Abb
0,Afghanistan,4,Asia,Southern Asia,33,65,AFG
1,Albania,8,Europe,Southern Europe,41,20,ALB
2,Algeria,12,Africa,Northern Africa,28,3,DZA
3,American Samoa,16,Oceania,Polynesia,-14.33,-170,ASM
4,Andorra,20,Europe,Southern Europe,42.5,1.5,AND
5,Angola,24,Africa,Middle Africa,-12.5,18.5,AGO
6,Anguilla,660,Latin America and the Caribbean,Caribbean,18.25,-63.17,AIA
7,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean,17.05,-61.8,ATG
8,Argentina,32,Latin America and the Caribbean,South America,-34,-64,ARG
9,Armenia,51,Asia,Western Asia,40,45,ARM
10,Aruba,533,Latin America and the Caribbean,Caribbean,12.5,-69.97,ABW
11,Australia,36,Oceania,Australia and New Zealand,-27,133,AUS
12,Austria,40,Europe,Western Europe,47.33,13.33,AUT
13,Azerbaijan,31,Asia,Western Asia,40.5,47.5,AZE
14,Bahamas,44,Latin America and the Caribbean,Caribbean,24.25,-76,BHS
15,Bahrain,48,Asia,Western Asia,26,50.55,BHR
16,Bangladesh,50,Asia,Southern Asia,24,90,BGD
17,Barbados,52,Latin America and the Caribbean,Caribbean,13.17,-59.53,BRB
18,Belarus,112,Europe,Eastern Europe,53,28,BLR
19,Belgium,56,Europe,Western Europe,50.83,4,BEL
20,Belize,84,Latin America and the Caribbean,Central America,17.25,-88.75,BLZ
21,Benin,204,Africa,Western Africa,9.5,2.25,BEN
22,Bermuda,60,Northern America,South America,32.33,-64.75,BMU
23,Bhutan,64,Asia,Southern Asia,27.5,90.5,BTN
24,Bolivia (Plurinational State of),68,Latin America and the Caribbean,South America,-17,-65,BOL
25,"Bonaire, Sint Eustatius and Saba",535,Latin America and the Caribbean,Caribbean,12.1784,68.2385,BES
26,Bosnia and Herzegovina,70,Europe,Southern Europe,44,18,BIH
27,Botswana,72,Africa,Southern Africa,-22,24,BWA
28,Brazil,76,Latin America and the Caribbean,South America,-10,-55,BRA
29,British Virgin Islands,92,Latin America and the Caribbean,Caribbean,18.5,-64.5,VGB
30,Brunei Darussalam,96,Asia,South-Eastern Asia,4.5,114.67,BRN
31,Bulgaria,100,Europe,Eastern Europe,43,25,BGR
32,Burkina Faso,854,Africa,Western Africa,13,-2,BFA
33,Burundi,108,Africa,Eastern Africa,-3.5,30,BDI
34,Cabo Verde,132,Africa,Western Africa,16,-24,CPV
35,Cambodia,116,Asia,South-Eastern Asia,13,105,KHM
36,Cameroon,120,Africa,Middle Africa,6,12,CMR
37,Canada,124,Northern America,South America,60,-95,CAN
38,Cayman Islands,136,Latin America and the Caribbean,Caribbean,19.5,-80.5,CYM
39,Central African Republic,140,Africa,Middle Africa,7,21,CAF
40,Chad,148,Africa,Middle Africa,15,19,TCD
41,Channel Islands,830,Europe,Northern Europe,19.333,81.217,CIN
42,Chile,152,Latin America and the Caribbean,South America,-30,-71,CHL
43,China,156,Asia,Eastern Asia,35,105,CHN
44,"China, Hong Kong Special Administrative Region",344,Asia,Eastern Asia,22.25,114.17,HKG
45,"China, Macao Special Administrative Region",446,Asia,Eastern Asia,22.17,113.55,MAC
46,Colombia,170,Latin America and the Caribbean,South America,4,-72,COL
47,Comoros,174,Africa,Eastern Africa,-12.17,44.25,COM
48,Congo,178,Africa,Middle Africa,-1,15,COG
49,Cook Islands,184,Oceania,Polynesia,-21.23,-159.77,COK
50,Costa Rica,188,Latin America and the Caribbean,Central America,10,-84,CRI
51,Côte d'Ivoire,384,Africa,Western Africa,8,-5,CIV
52,Croatia,191,Europe,Southern Europe,45.17,15.5,HRV
53,Cuba,192,Latin America and the Caribbean,Caribbean,21.5,-80,CUB
