Label,name,code,region,sub_region,_pos,lat,lng,Abb
0,Afghanistan,4,Asia,Southern Asia,"array([1.83174148, 1.86242262])",33.93911,67.709953,AFG
1,Albania,8,Europe,Southern Europe,"array([1.89105956, 2.05459683])",41.153332,20.168331,ALB
2,Algeria,12,Africa,Northern Africa,"array([1.90130528, 1.98917661])",28.033886,1.659626,DZA
3,American Samoa,16,Oceania,Polynesia,"array([1.97167436, 2.13972604])",-14.270972,-170.132217,ASM
4,Andorra,20,Europe,Southern Europe,"array([1.70167317, 1.89743272])",42.546245,1.601554,AND
5,Angola,24,Africa,Middle Africa,"array([1.9465887, 1.9502161])",-11.202692,17.873887,AGO
6,Anguilla,660,Latin America and the Caribbean,Caribbean,"array([1.6351819 , 1.94586471])",18.220554,-63.068615,AIA
7,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean,"array([1.7185836 , 2.01145937])",17.060816,-61.796428,ATG
8,Argentina,32,Latin America and the Caribbean,South America,"array([1.78741413, 1.9813161 ])",-38.416097,-63.616672,ARG
9,Armenia,51,Asia,Western Asia,"array([1.77097526, 1.86287605])",40.069099,45.038189,ARM
10,Aruba,533,Latin America and the Caribbean,Caribbean,"array([1.67274657, 1.99450001])",12.52111,-69.968338,ABW
11,Australia,36,Oceania,Australia and New Zealand,"array([1.84918437, 2.00546947])",-25.274398,133.775136,AUS
12,Austria,40,Europe,Western Europe,"array([1.83979734, 1.9617719 ])",47.516231,14.550072,AUT
13,Azerbaijan,31,Asia,Western Asia,"array([1.77487777, 1.82943961])",40.143105,47.576927,AZE
14,Bahamas,44,Latin America and the Caribbean,Caribbean,"array([1.73975651, 1.97967049])",25.03428,-77.39628,BHS
15,Bahrain,48,Asia,Western Asia,"array([1.92645288, 1.95643674])",25.930414,50.637772,BHR
16,Bangladesh,50,Asia,Southern Asia,"array([1.86621049, 2.05299172])",23.684994,90.356331,BGD
17,Barbados,52,Latin America and the Caribbean,Caribbean,"array([1.71345384, 2.05299602])",13.193887,-59.543198,BRB
18,Belarus,112,Europe,Eastern Europe,"array([1.78801017, 1.88038013])",53.709807,27.953389,BLR
19,Belgium,56,Europe,Western Europe,"array([1.86513634, 1.95633179])",50.503887,4.469936,BEL
20,Belize,84,Latin America and the Caribbean,Central America,"array([1.6929719 , 2.01189604])",17.189877,-88.49765,BLZ
21,Benin,204,Africa,Western Africa,"array([1.93530374, 1.84289563])",9.30769,2.315834,BEN
22,Bermuda,60,Northern America,South America,"array([1.76429943, 2.06958287])",32.321384,-64.75737,BMU
23,Bhutan,64,Asia,Southern Asia,"array([1.82273671, 2.10040382])",27.514162,90.433601,BTN
24,Bolivia (Plurinational State of),68,Latin America and the Caribbean,South America,"array([1.80487629, 1.9795185 ])",-16.290154,-63.588653,BOL
25,"Bonaire, Sint Eustatius and Saba",535,Latin America and the Caribbean,Caribbean,"array([1.68468075, 2.06862525])",12.1784,68.2385,BES
26,Bosnia and Herzegovina,70,Europe,Southern Europe,"array([1.91284333, 2.01372877])",43.915886,17.679076,BIH
27,Botswana,72,Africa,Southern Africa,"array([1.95382079, 2.01142603])",-22.328474,24.684866,BWA
28,Brazil,76,Latin America and the Caribbean,South America,"array([1.79691048, 1.96465094])",-14.235004,-51.92528,BRA
29,British Virgin Islands,92,Latin America and the Caribbean,Caribbean,"array([1.65097584, 2.0362951 ])",18.420695,-64.639968,VGB
30,Brunei Darussalam,96,Asia,South-Eastern Asia,"array([1.87540877, 2.10162475])",4.535277,114.727669,BRN
31,Bulgaria,100,Europe,Eastern Europe,"array([1.8386259 , 1.94852143])",42.733883,25.48583,BGR
32,Burkina Faso,854,Africa,Western Africa,"array([1.8428376 , 1.80209088])",12.238333,-1.561593,BFA
33,Burundi,108,Africa,Eastern Africa,"array([1.99418069, 1.94910222])",-3.373056,29.918886,BDI
34,Cabo Verde,132,Africa,Western Africa,"array([1.88230355, 1.89706555])",16.002082,-24.013197,CPV
35,Cambodia,116,Asia,South-Eastern Asia,"array([1.86276584, 2.07425401])",12.565679,104.990963,KHM
36,Cameroon,120,Africa,Middle Africa,"array([1.90366504, 1.87706999])",7.369722,12.354722,CMR
37,Canada,124,Northern America,South America,"array([1.80817934, 1.99441469])",56.130366,-106.346771,CAN
38,Cayman Islands,136,Latin America and the Caribbean,Caribbean,"array([1.75736157, 2.04999066])",19.513469,-80.566956,CYM
